🇨🇳 央视,#genre#
CCTV14,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel11/1300.m3u8
CCTV12,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel12/1300.m3u8
CCTV-13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CGTN,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel14/1300.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8#https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel15/1300.m3u8
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8#https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CETV-1,http://hwylivehd.centv.cn/cetv1/ypd.m3u8
CETV-2,http://hwylivehd.centv.cn/cetv2/2020tsytk.m3u8
CETV-3,http://hwylivehd.centv.cn/cetv3/bjdm.m3u8
CETV-4,http://hwylivehd.centv.cn/cetv4/zjpd.m3u8
CCTV1,http://e2.woc.iiiya.cn:8888/udp/239.61.4.176:1025
CCTV1,http://e2.woc.iiiya.cn:8888/udp/239.61.4.27:1025
CCTV1,http://e2.woc.iiiya.cn:8888/udp/239.61.5.163:1025
CCTV1,http://e2.woc.iiiya.cn:8888/udp/239.61.5.180:1025
CCTV1,http://e2.woc.iiiya.cn:8888/udp/239.61.5.42:1025
CCTV1,http://e2.woc.iiiya.cn:8888/udp/239.61.5.193:1025
CCTV1[768*576],http://e2.woc.iiiya.cn:8888/udp/239.61.4.15:1025
CCTV1[768*576],http://e2.woc.iiiya.cn:8888/udp/239.61.4.175:1025
CCTV2,http://e2.woc.iiiya.cn:8888/udp/239.61.5.61:1025
